	1.55	                   0
	              1.7712	                   0
	              2.0664	                   0
	             2.47968	              0.0587
	              2.7552	              0.1141
	             2.78616	              0.1259
	             2.81782	              0.1215
	             2.85021	               0.116
	             2.88335	              0.1372
	             2.91728	              0.1344
	               2.952	              0.1409
	             2.98757	              0.1417
	             3.02400	              0.1712
	             3.06134	              0.1936
	             3.09961	              0.1969
	             3.13884	              0.2203
	             3.17908	              0.2354
	             3.22037	              0.3004
	             3.26274	              0.4165
	             3.30625	              0.6353
	             3.35092	              0.8722
	             3.39683	              0.9704
	             3.54241	              0.9996
	             4.13281	                   1
	                6.20	                   1
